event,start_date_time,end_date_time,note_1,note_2
Decerno ChatBot,2023-11-13 13:15:00+00:00,2023-11-13 14:30:00+00:00,,
"Säljmöte / AI ""pitch""",2023-11-14 08:00:00+00:00,2023-11-14 09:20:00+00:00,,
BUP Intern Sync,2023-11-15 09:30:00+00:00,2023-11-15 10:30:00+00:00,,
AI ide FB,2023-11-15 08:30:00+00:00,2023-11-15 09:00:00+00:00,,
Workshop Prep,2023-11-16 10:00:00+00:00,2023-11-16 11:00:00+00:00,,
Textgenerator FB,2023-11-17 09:00:00+00:00,2023-11-17 10:00:00+00:00,,
Workshop PAS,2023-11-20 14:30:00+00:00,2023-11-20 15:30:00+00:00,,
HR,2023-12-15 10:00:00+00:00,2023-12-15 10:30:00+00:00,,
Vitor,2023-11-10 13:00:00+01:00,2023-11-10 13:40:00+01:00,,
Victor,2023-11-10 13:00:00+01:00,2023-11-10 13:40:00+01:00,,
Victor,2023-11-24 13:00:00+01:00,2023-11-24 13:40:00+01:00,,
Victor,2023-12-22 13:00:00+01:00,2023-12-22 13:40:00+01:00,,
Victor,2023-11-17 13:00:00+01:00,2023-11-17 13:40:00+01:00,,
HR AI,2024-01-12 09:00:00+00:00,2024-01-12 10:30:00+00:00,,
Tekniksnack/demo FB (Victor/Mikael),2024-01-10 09:30:00+00:00,2024-01-10 10:30:00+00:00,,
HR Utbildning,2024-01-17 12:00:00+00:00,2024-01-17 14:15:00+00:00,,
Sync Chatbot,2024-01-18 09:30:00+00:00,2024-01-18 10:00:00+00:00,,
AI FB,2024-01-25 10:15:00+00:00,2024-01-25 11:00:00+00:00,,
DecAcademy sync,2024-01-24 10:00:00+00:00,2024-01-24 10:30:00+00:00,,
FB,2024-02-12 08:15:00+00:00,2024-02-12 09:00:00+00:00,,
Kvinnor Decerno,2024-02-12 10:00:00+00:00,2024-02-12 10:30:00+00:00,,
FB,2024-02-16 09:30:00+00:00,2024-02-16 10:00:00+00:00,,
NPA Data,2024-03-04 12:00:00+00:00,2024-03-04 13:00:00+00:00,,
FB redovisning,2024-03-08 10:30:00+00:00,2024-03-08 11:30:00+00:00,,
AI Brain storming Roger Norlen med flera,2024-03-11 08:00:00+00:00,2024-03-11 09:00:00+00:00,,
AI Hjärta,2024-03-11 12:00:00+00:00,2024-03-11 13:00:00+00:00,,
DB Schenker,2024-03-15 09:30:00+00:00,2024-03-15 10:00:00+00:00,,
AI dagen - material,2024-03-19 13:00:00+00:00,2024-03-19 14:00:00+00:00,,
FB avstämning,2024-03-18 08:00:00+00:00,2024-03-18 08:30:00+00:00,,
Jörgen NPA,2024-03-18 09:00:00+00:00,2024-03-18 10:00:00+00:00,,
Harald Hermansson,2024-03-22 09:00:00+00:00,2024-03-22 10:00:00+00:00,,
Jennie Henricksson,2024-03-18 12:30:00+00:00,2024-03-18 13:00:00+00:00,,
Jörgen NPA,2024-03-27 09:00:00+00:00,2024-03-27 10:00:00+00:00,,
NPA,2024-04-02 09:30:00+00:00,2024-04-02 10:00:00+00:00,,
NPA Gertrude / Jörgen,2024-04-04 08:30:00+00:00,2024-04-04 09:30:00+00:00,,
FB - sync,2024-04-08 07:00:00+00:00,2024-04-08 08:00:00+00:00,,
Tjejer som kodar presentation,2024-04-08 12:00:00+00:00,2024-04-08 13:00:00+00:00,,
Tjejer som kodar - plannering,2024-04-08 11:30:00+00:00,2024-04-08 12:00:00+00:00,,
Tjejer som kodar plannering,2024-04-16 08:00:00+00:00,2024-04-16 09:00:00+00:00,,
Karin sync Tjejer som kodar,2024-04-30 08:00:00+00:00,2024-04-30 09:00:00+00:00,,
Technet,2024-05-15 08:00:00+00:00,2024-05-15 12:00:00+00:00,,
FB - sync,2024-04-22 11:30:00+00:00,2024-04-22 12:30:00+00:00,,
FB Thomas,2024-04-26 07:00:00+00:00,2024-04-26 08:00:00+00:00,,
