event,start_date_time,end_date_time,note_1,note_2
Lovely,2020-12-21 15:00:00+01:00,2020-12-21 20:00:00+01:00,,
Lovely,2021-01-01 14:00:00+01:00,2021-01-01 20:00:00+01:00,,
Lovely,2021-01-29 14:00:00+01:00,2021-01-29 20:30:00+01:00,,
Lovely,2021-02-01 15:00:00+01:00,2021-02-01 20:30:00+01:00,,
Lovely,2021-02-15 06:30:00+01:00,2021-02-15 07:30:00+01:00,,
Lovely,2021-08-02 06:00:00+02:00,2021-08-02 06:30:00+02:00,,
Lovely,2021-03-01 15:00:00+01:00,2021-03-01 20:30:00+01:00,,
Lovely,2021-12-22 15:00:00+01:00,2021-12-22 20:00:00+01:00,,
Lovely,2021-12-23 15:00:00+01:00,2021-12-23 20:00:00+01:00,,
Lovely,2021-12-24 15:00:00+01:00,2021-12-24 20:00:00+01:00,,
Lovely,2021-12-25 15:00:00+01:00,2021-12-25 20:00:00+01:00,,
Lovely,2021-12-26 15:00:00+01:00,2021-12-26 20:00:00+01:00,,
Lovely,2021-03-15 15:00:00+01:00,2021-03-15 20:00:00+01:00,,
Lovely,2021-12-06 06:30:00+01:00,2021-12-06 07:00:00+01:00,,
Lovali,2021-03-08 06:30:00+01:00,2021-03-08 07:30:00+01:00,,
Lovali - nyår,2021-12-29 15:00:00+01:00,2021-12-29 20:00:00+01:00,,
Lovely,2022-06-21 06:30:00+02:00,2022-06-21 07:00:00+02:00,,
Lovely,2022-08-15 06:00:00+02:00,2022-08-15 06:30:00+02:00,,
Lovely,2022-01-17 16:00:00+01:00,2022-01-17 19:00:00+01:00,,
Lovely,2022-08-29 06:00:00+02:00,2022-08-29 06:30:00+02:00,,
Lovely,2023-11-27 16:00:00+01:00,2023-11-27 19:00:00+01:00,,
Lovely,2024-04-29 16:30:00+02:00,2024-04-29 19:00:00+02:00,,
Lovely,2024-01-08 06:00:00+01:00,2024-01-08 06:30:00+01:00,,
Lovely,2024-07-22 06:00:00+02:00,2024-07-22 06:30:00+02:00,,
Lovely,2024-07-08 17:00:00+02:00,2024-07-08 20:00:00+02:00,,
Lovely,2024-08-09 17:00:00+02:00,2024-08-09 20:00:00+02:00,,
Lovely,2024-08-10 17:00:00+02:00,2024-08-10 20:00:00+02:00,,
Lovely,2024-08-11 17:00:00+02:00,2024-08-11 20:00:00+02:00,,
Lovely,2024-08-07 17:00:00+02:00,2024-08-07 20:00:00+02:00,,
Lovely,2024-08-06 17:00:00+02:00,2024-08-06 20:00:00+02:00,,
Lovely,2024-08-05 17:00:00+02:00,2024-08-05 20:00:00+02:00,,
Lovely,2024-08-08 17:00:00+02:00,2024-08-08 20:00:00+02:00,,
