label,start,end,note,unknown_1
FOOD/600/25/37/35,2024-11-04T07:30:00+01:00,"{'dateTime': '2024-11-04T08:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/600/25/37/35,2024-11-04T11:01:00+01:00,"{'dateTime': '2024-11-04T11:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,1
FOOD/500/27/26/30,2024-11-04T16:01:00+01:00,"{'dateTime': '2024-11-04T16:31:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",1
FOOD/890/18/175/13,2024-11-04T16:30:00+01:00,"{'dateTime': '2024-11-04T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Protein bars, candy",0
FOOD/600/25/37/35,2024-11-05T06:30:00+01:00,"{'dateTime': '2024-11-05T07:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/600/25/37/35,2024-11-05T10:01:00+01:00,"{'dateTime': '2024-11-05T10:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,1
FOOD/127/3/10/8,2024-11-05T12:30:00+01:00,"{'dateTime': '2024-11-05T13:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Sandwish, butter, peanut butter",1
FOOD/115/0/30/0,2024-11-05T14:01:00+01:00,"{'dateTime': '2024-11-05T14:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",Carbs,1
FOOD/500/27/26/30,2024-11-05T16:30:00+01:00,"{'dateTime': '2024-11-05T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",0
FOOD/440/19/27/18,2024-11-05T17:01:00+01:00,"{'dateTime': '2024-11-05T17:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein bars,1
FOOD/600/25/37/35,2024-11-06T06:30:00+01:00,"{'dateTime': '2024-11-06T07:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/600/25/37/35,2024-11-06T10:01:00+01:00,"{'dateTime': '2024-11-06T10:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,1
FOOD/127/3/10/8,2024-11-06T13:01:00+01:00,"{'dateTime': '2024-11-06T13:31:00+01:00', 'timeZone': 'Europe/Stockholm'}","Sandwish, butter, peanut butter",1
FOOD/500/27/26/30,2024-11-06T16:30:00+01:00,"{'dateTime': '2024-11-06T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",0
FOOD/443/21/31/27,2024-11-06T17:01:00+01:00,"{'dateTime': '2024-11-06T17:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein bars,1
FOOD/600/25/37/35,2024-11-07T07:30:00+01:00,"{'dateTime': '2024-11-07T08:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/127/3/10/8,2024-11-07T13:30:00+01:00,"{'dateTime': '2024-11-07T14:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Sandwish, butter, peanut butter",0
FOOD/115/0/30/0,2024-11-07T14:30:00+01:00,"{'dateTime': '2024-11-07T15:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Carbs,0
FOOD/500/23/35/27,2024-11-07T16:01:00+01:00,"{'dateTime': '2024-11-07T16:31:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, veg. burger, halloumi, egg, watermelon, grapes, coleslaw, bea",1
FOOD/337/19/27/18,2024-11-07T16:30:00+01:00,"{'dateTime': '2024-11-07T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Proteinbars,0
FOOD/600/25/37/35,2024-11-08T06:20:00+01:00,"{'dateTime': '2024-11-08T06:50:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/600/25/37/35,2024-11-08T09:30:00+01:00,"{'dateTime': '2024-11-08T10:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/520/28/29/31,2024-11-08T14:55:00+01:00,"{'dateTime': '2024-11-08T15:25:00+01:00', 'timeZone': 'Europe/Stockholm'}","Watermelon, grapes, coleslaw, veg sausage, broccoli, bea, halloumi, egg",1
FOOD/443/21/31/27,2024-11-08T15:30:00+01:00,"{'dateTime': '2024-11-08T16:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein bars,0
FOOD/600/25/37/35,2024-11-09T04:38:00+01:00,"{'dateTime': '2024-11-09T05:08:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein shake,2
FOOD/600/25/37/35,2024-11-09T07:43:00+01:00,"{'dateTime': '2024-11-09T08:13:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/23/35/27,2024-11-09T10:32:00+01:00,"{'dateTime': '2024-11-09T11:02:00+01:00', 'timeZone': 'Europe/Stockholm'}",Indian curry with rice and <span>chickpeas</span>,0
FOOD/180/4/12/12,2024-11-09T13:45:00+01:00,"{'dateTime': '2024-11-09T14:15:00+01:00', 'timeZone': 'Europe/Stockholm'}","Protein bar, piece of choclate/coffe",0
