livsmedel,calorie,protein,carb,fat
Nöt talg,656,7.0,0.0,71.0
Gris späck,763,2.8,0.0,85.0
Gris ister,884,0.0,0.0,100.0
Kokosfett,884,0.0,0.0,100.0
Matfettsblandning havssaltat fett 80% berikad typ Bregott,712,0.5,0.5,80.0
Matfettsblandning fett 60% berikad typ Bregott mellan,534,0.4,0.5,60.0
Flytande margarin fett 82% berikad typ Milda culinesse,725,0.0,0.0,82.0
Hushållsmargarin fett 80% berikad typ Melba,710,0.1,0.4,80.0
Hushållsmargarin fett 80% berikad typ Milda,712,0.5,0.5,80.0
Lättmargarin fett 38% berikad typ Becel,348,0.0,3.0,38.0
Lättmargarin fett 40% berikad typ Lätt & lagom,381,0.5,6.2,40.0
Majonnäs fett 90% hemlagad,782,1.5,0.4,87.6
Sesamsås m. grädde,361,2.3,3.9,37.8
Gravlaxsås hovmästarsås hemlagad,438,2.1,13.3,42.4
Gravlaxsås kylvara,555,1.6,13.1,56.0
Remouladsås,706,1.4,1.1,78.6
Dressing vinägrett fett 45%,407,0.7,3.1,44.2
Smör fett 80%,729,0.4,0.5,82.0
Smör extrasaltat fett 80%,728,0.6,0.5,81.8
Smör osaltat fett 80%,728,0.6,0.5,81.8
Druvkärnolja,884,0.0,0.0,100.0
Majsolja,884,0.0,0.0,100.0
Olivolja,884,0.0,0.0,100.0
Tistelolja,884,0.0,0.0,100.0
Sesamolja,884,0.0,0.0,100.0
Sojaolja,884,0.0,0.0,100.0
Solrosolja,884,0.0,0.0,100.0
Vetegroddsolja,884,0.0,0.0,100.0
Dressing konserv. fett ca 25%,262,0.5,9.7,25.0
Dressing till sallad m. majonnäs fett ca 25% kylvara,303,0.5,19.7,25.0
Dressing fett 0%,60,1.6,13.1,0.0
Majonnäs fett 80%,666,1.3,5.0,72.4
Gurkmajonnäs gurksallad gatukök,333,0.8,10.9,32.0
Räkmajonnäs räksallad gatukök,457,5.2,2.9,48.0
Majonnäs lätt fett 30%,323,1.5,10.7,30.9
Mimosasallad,147,0.8,9.1,11.7
Rödbetssallad m. gräddfil hemlagad,66,1.2,9.9,2.0
Sallad m. skaldjur majonnäsdressing,110,5.8,2.4,8.5
Bearnaisesås hemlagad,509,2.6,1.2,55.9
Hollandaisesås hemlagad,500,3.0,0.7,54.8
Rhode Islandsås hemlagad,358,2.0,6.4,36.6
Dressing vinägrett fett 65%,586,0.6,2.2,65.0
Bearnaisesås tillagad frysvara el. pulver,224,2.6,6.7,21.0
Hollandaisesås tillagad frysvara el. pulver,232,2.6,6.6,22.0
Mesost fett ca 30%,460,11.0,39.0,29.0
Messmör fett 5% berikad,260,7.0,46.0,5.0
Messmör fett 2% berikad,245,7.0,49.0,2.0
Färskost cottage cheese naturell fett 4%,100,13.4,1.9,4.3
Färskost cottage cheese m. frukt fett 3%,105,10.3,9.1,2.8
"Färskost cottage cheese m. grönsaker fett 3,5-5%",94,12.2,0.9,4.2
Färskost m. filmjölk fett ca 8%,119,8.0,2.9,8.4
Färskost m. filmjölk gräddfil fett ca 14% hemlagad,178,9.7,3.1,14.2
Kvarg färskost fett 1%,75,12.7,3.6,1.0
Kvarg färskost fett 10%,152,12.7,2.9,10.0
Ost hårdost fett 10%,226,32.4,1.5,10.0
Ost hårdost fett 23%,325,29.2,0.8,23.0
Ost hårdost fett 26%,337,24.9,1.4,26.0
Ost hårdost fett 38%,421,19.8,1.2,38.0
Vitmögelost camembert fett 23%,286,21.5,0.0,22.5
Ädelost grönmögelost fett 30%,363,21.5,1.5,30.5
Mjukost smältost fett 8%,158,18.1,3.5,8.0
Mjukost smältost fett 10%,173,15.2,5.4,10.1
Mjukost smältost fett ca 20%,253,10.3,6.7,20.8
Mjukost smältost fett ca 16%,208,16.0,1.5,15.5
Mjukost smältost fett 4%,117,14.3,5.7,4.0
Vitmögelost brie fett 34%,378,17.0,2.1,34.0
Ädelost grönmögelost fett 17%,315,31.4,0.9,20.8
Salladsost fett 22%,272,16.7,2.1,22.1
Ost hårdost fett 17%,280,30.3,1.5,17.0
Ost hårdost fett 28%,358,26.2,3.0,27.1
Ost hårdost fett 31%,392,25.2,3.3,31.2
Vitmögelost brie fett 30%,348,17.0,2.8,30.2
Ost halloumi rå fett 22%,292,22.3,1.9,21.9
Färskost fett 33%,343,10.2,2.4,33.0
Ädelost grönmögelost fett 43%,429,9.6,2.5,43.0
Ost hårdost parmesan fett 30%,410,36.2,0.0,29.7
Färskost m. vitlök fett 35%,340,4.0,3.5,35.0
Vitmögelost camembert fett 11%,185,21.4,0.2,11.0
Mjukost smältost fett ca 22%,273,10.3,8.2,22.4
Färskost cream cheese fett 27%,276,6.1,2.4,27.3
Färskost cream cheese lätt fett 15%,187,7.8,3.4,16.0
Färskost cream cheese extra light fett 5%,116,12.2,4.7,5.3
Vitmögelost camembert friterad,324,17.6,14.9,21.4
Vitmögelost getost chèvre fett 25%,345,20.6,1.4,29.0
Bröstmjölk humanmjölk,68,1.3,8.7,3.1
Filmjölk fett 3% berikad,57,3.3,4.6,2.8
Kondenserad mjölk konserv. fett ca 8%,136,6.8,10.0,7.6
Kondenserad mjölk konserv. konc. m. socker fett ca 9%,334,8.9,55.4,8.2
Mjölkpulver fett 1%,365,36.2,52.0,0.8
Filmjölk långfil fett 3% berikad,60,3.4,4.8,3.0
"Lättfil fett 0,5% berikad",39,3.5,5.0,0.5
Milkshake choklad jordgubb,84,2.0,10.9,3.6
Mjölk fett 3% berikad,60,3.5,4.7,3.0
Yoghurt naturell fett 3% berikad,56,3.4,4.5,2.7
"Fruktyoghurt fett 2,5%",97,3.3,15.0,2.5
"Fruktyoghurt lätt fett 0,5% berikad",76,3.0,14.3,0.5
"Mjölk fett 4,2% typ lantmjölk",70,3.4,4.8,4.2
Filmjölk A-fil fett 3% berikad,60,3.4,4.8,3.0
"Mellanfil fett 1,5% berikad",48,3.5,5.0,1.5
"Mjölkdryck jordgubb fett 1,5% berikad",50,3.3,5.2,1.7
"Yoghurt naturell lätt fett 0,5% berikad",42,3.9,5.5,0.5
Fruktyoghurt fett 2%,93,3.3,15.0,2.0
Fruktyoghurt delikatessyoghurt fett 7%,129,2.5,14.0,7.0
"Fruktyoghurt lätt fett<0,05% berikad",52,3.8,8.8,0.0
Fruktyoghurt fett 5%,127,5.6,14.6,5.1
"Fruktyoghurt fett 1,3% berikad",93,7.0,13.0,1.4
Kefir fett 3% berikad,60,3.4,4.8,3.0
"Yoghurt mild vanilj lätt fett 0,5% berikad",61,4.1,9.9,0.5
"Mellanmjölk fett 1,5% berikad",47,3.6,4.8,1.5
"Lättmjölk fett 0,5% berikad",39,3.6,4.8,0.5
Vassle flytande,25,0.8,5.1,0.1
Filbunke m. grädde,66,3.6,4.8,3.6
Varm choklad m. mjölk fett 3%,85,3.8,10.4,3.1
"Varm choklad m. mjölk fett 1,5%",72,3.9,10.5,1.7
