name,livsmedel,amount,code
Yoghurt bowl,Havregryn fullkorn,0.4,FOOD/490/15/38/24
Yoghurt bowl,Jordnötter rostade saltade,0.1,FOOD/490/15/38/24
Yoghurt bowl,Pumpafrö,0.1,FOOD/490/15/38/24
Yoghurt bowl,Jordnötssmör,0.1,FOOD/490/15/38/24
Yoghurt bowl,Estrella nötmix,0.1,FOOD/490/15/38/24
Yoghurt bowl,Protinella,0.1,FOOD/490/15/38/24
Yoghurt bowl,Sojayoghurt,1.0,FOOD/490/15/38/24
Porridge,Havregryn fullkorn,0.4,FOOD/570/18/34/32
Porridge,Jordnötter rostade saltade,0.1,FOOD/570/18/34/32
Porridge,Chiafrö,0.1,FOOD/570/18/34/32
Porridge,Pumpafrö,0.1,FOOD/570/18/34/32
Porridge,Hampafrö,0.1,FOOD/570/18/34/32
Porridge,Jordnötssmör,0.1,FOOD/570/18/34/32
Porridge,Estrella nötmix,0.1,FOOD/570/18/34/32
Porridge,Protinella,0.1,FOOD/570/18/34/32
Porridge,Sojamjölk,1.0,FOOD/570/18/34/32
