label,start,end,note,unknown_1
BIKE/RMP/188,2024-11-04T13:22:00+01:00,"{'dateTime': '2024-11-04T13:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",1,1
STR/BODYPUMP/225,2024-11-04T14:00:00+01:00,"{'dateTime': '2024-11-04T14:45:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
RUN/10.0/505/5'07'',2024-11-05T14:58:00+01:00,"{'dateTime': '2024-11-05T16:14:00+01:00', 'timeZone': 'Europe/Stockholm'}",1,1
BIKE/TRIP/472,2024-11-06T14:42:00+01:00,"{'dateTime': '2024-11-06T15:47:00+01:00', 'timeZone': 'Europe/Stockholm'}",1,1
RUN/7.0/354/5'33'',2024-11-09T15:09:00+01:00,"{'dateTime': '2024-11-09T15:49:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
BIKE/SPRINT/191,2024-11-10T13:22:00+01:00,"{'dateTime': '2024-11-10T13:54:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
STR/BODYPUMP/174,2024-11-10T14:04:00+01:00,"{'dateTime': '2024-11-10T14:49:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
SWIM/1900/465,2024-11-11T14:01:00+01:00,"{'dateTime': '2024-11-11T15:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",1,1
RUN/10.0/533/5'45'',2024-11-12T14:29:00+01:00,"{'dateTime': '2024-11-12T15:28:00+01:00', 'timeZone': 'Europe/Stockholm'}",2,2
BIKE/RPM/200,2024-11-13T14:00:00+01:00,"{'dateTime': '2024-11-13T14:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
STR/BODYPUMP/193,2024-11-13T14:30:00+01:00,"{'dateTime': '2024-11-13T15:15:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
SWIM/1400/346,2024-11-14T13:23:00+01:00,"{'dateTime': '2024-11-14T14:11:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
RUN/7.07/337/5'30'',2024-11-15T12:12:00+01:00,"{'dateTime': '2024-11-15T12:52:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
STR/GYM/193,2024-11-16T13:19:00+01:00,"{'dateTime': '2024-11-13T13:19:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
BIKE/RPM/421,2024-11-18T14:47:00+01:00,"{'dateTime': '2024-11-13T14:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
RUN/11.79/587/5'23'',2024-11-19T15:03:00+01:00,"{'dateTime': '2024-11-15T12:52:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
SWIM/1900/461,2024-11-20T13:58:00+01:00,"{'dateTime': '2024-11-11T15:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",1,1
BIKE/RPM/309,2024-11-21T14:48:00+01:00,"{'dateTime': '2024-11-13T14:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
RUN/7.19/356/5'25'',2024-11-22T15:08:00+01:00,"{'dateTime': '2024-11-15T12:52:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
