label,start,end,note,unknown_1
"WALK/8,93/508",2024-11-04T04:41:00+01:00,"{'dateTime': '2024-11-04T06:29:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,65/454",2024-11-04T11:21:00+01:00,"{'dateTime': '2024-11-04T13:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,38/363",2024-11-05T04:25:00+01:00,"{'dateTime': '2024-11-05T06:09:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,38/428",2024-11-05T10:53:00+01:00,"{'dateTime': '2024-11-05T12:41:00+01:00', 'timeZone': 'Europe/Stockholm'}",18,18
"WALK/8,79/478",2024-11-06T04:22:00+01:00,"{'dateTime': '2024-11-06T06:07:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,58/438",2024-11-06T10:47:00+01:00,"{'dateTime': '2024-11-06T12:28:00+01:00', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,47/423",2024-11-07T05:35:00+01:00,"{'dateTime': '2024-11-07T07:14:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,22/396",2024-11-07T11:05:00+01:00,"{'dateTime': '2024-11-07T12:39:00+01:00', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,41/443",2024-11-08T04:13:00+01:00,"{'dateTime': '2024-11-08T05:58:00+01:00', 'timeZone': 'Europe/Stockholm'}",14,14
"WALK/7,91/458",2024-11-08T10:12:00+01:00,"{'dateTime': '2024-11-08T11:57:00+01:00', 'timeZone': 'Europe/Stockholm'}",17,17
"WALK/8,49/435",2024-11-09T05:21:00+01:00,"{'dateTime': '2024-11-09T07:03:00+01:00', 'timeZone': 'Europe/Stockholm'}",14,14
"WALK/8,68/492",2024-11-09T11:16:00+01:00,"{'dateTime': '2024-11-09T13:05:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/8,57/486",2024-11-10T05:04:00+01:00,"{'dateTime': '2024-11-10T06:43:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/8,07/659",2024-11-10T11:09:00+01:00,"{'dateTime': '2024-11-10T12:51:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/8,52/436",2024-11-11T05:19:00+01:00,"{'dateTime': '2024-11-11T07:02:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/7,67/472",2024-11-11T10:59:00+01:00,"{'dateTime': '2024-11-11T12:33:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/10,88/510",2024-11-12T04:42:00+01:00,"{'dateTime': '2024-11-12T06:29:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/7,64/425",2024-11-12T10:30:00+01:00,"{'dateTime': '2024-11-12T12:04:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/8,94/585",2024-11-13T04:38:00+01:00,"{'dateTime': '2024-11-13T06:20:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/7,63/467",2024-11-13T10:29:00+01:00,"{'dateTime': '2024-11-13T12:09:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/8,96/526",2024-11-14T04:51:00+01:00,"{'dateTime': '2024-11-14T06:31:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/7,88/453",2024-11-14T10:53:00+01:00,"{'dateTime': '2024-11-14T12:43:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/8,67/498",2024-11-15T04:09:00+01:00,"{'dateTime': '2024-11-15T05:50:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
"WALK/7,61/459",2024-11-15T10:23:00+01:00,"{'dateTime': '2024-11-15T11:59:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/8.90/526,2024-11-16T04:10:00+01:00,"{'dateTime': '2024-11-16T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/9.0/572,2024-11-16T09:57:00+01:00,"{'dateTime': '2024-11-16T010:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/9.18/541,2024-11-17T04:10:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/3.95/221,2024-11-17T09:42:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/3.89/224,2024-11-17T13:01:00+01:00,"{'dateTime': '2024-11-17T13:01:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/8.29/499,2024-11-18T04:13:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/7.19/438,2024-11-18T10:03:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/8.70/497,2024-11-19T04:10:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/2.85/153,2024-11-19T09:19:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/6.43/338,2024-11-19T11:45:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/8.98/442,2024-11-20T04:18:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/7.27/411,2024-11-20T10:33:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/8.70/477,2024-11-21T04:21:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/7.37/440,2024-11-21T10:24:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/8.73/445,2024-11-22T04:01:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/7.59/400,2024-11-22T10:31:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/9.36/514,2024-11-23T04:16:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
WALK/7.55/387,2024-11-23T08:32:00+01:00,"{'dateTime': '2024-11-17T05:53:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
