date,time,label,activity,distance,energy,energy_acc,pro,protein_acc,carb,fat,note
2024-11-04,00:00,REST,Bmr,0,-52.25,-52.25,0.0,0.0,0.0,0.0,0
2024-11-04,01:00,REST,Bmr,0,-52.25,-104.5,0.0,0.0,0.0,0.0,0
2024-11-04,02:00,REST,Bmr,0,-52.25,-156.75,0.0,0.0,0.0,0.0,0
2024-11-04,03:00,REST,Bmr,0,-52.25,-209.0,0.0,0.0,0.0,0.0,0
2024-11-04,04:00,REST,Bmr,0,-52.25,-261.25,0.0,0.0,0.0,0.0,0
2024-11-04,04:41,TRAINING,Walk,"8,93 km",-508.0,-769.25,0.0,0.0,0.0,0.0,15
2024-11-04,05:00,REST,Bmr,0,-52.25,-821.5,0.0,0.0,0.0,0.0,0
2024-11-04,06:00,REST,Bmr,0,-52.25,-873.75,0.0,0.0,0.0,0.0,0
2024-11-04,07:00,REST,Bmr,0,-52.25,-926.0,0.0,0.0,0.0,0.0,0
2024-11-04,07:30,FOOD,Eat,0.0,600.0,-326.0,25.0,25.0,37.0,35.0,Porridge
2024-11-04,08:00,REST,Bmr,0,-52.25,-378.25,0.0,25.0,0.0,0.0,0
2024-11-04,09:00,REST,Bmr,0,-52.25,-430.5,0.0,25.0,0.0,0.0,0
2024-11-04,10:00,REST,Bmr,0,-52.25,-482.75,0.0,25.0,0.0,0.0,0
2024-11-04,11:00,REST,Bmr,0,-52.25,-535.0,0.0,25.0,0.0,0.0,0
2024-11-04,11:01,FOOD,Eat,0.0,600.0,65.0,25.0,50.0,37.0,35.0,Porridge
2024-11-04,11:21,TRAINING,Walk,"7,65 km",-454.0,-389.0,0.0,50.0,0.0,0.0,19
2024-11-04,12:00,REST,Bmr,0,-52.25,-441.25,0.0,50.0,0.0,0.0,0
2024-11-04,13:00,REST,Bmr,0,-52.25,-493.5,0.0,50.0,0.0,0.0,0
2024-11-04,13:22,TRAINING,BIKE,0.0,0.0,-493.5,0.0,50.0,0.0,0.0,RMP
2024-11-04,14:00,TRAINING,STR,0.0,0.0,-493.5,0.0,50.0,0.0,0.0,BODYPUMP
2024-11-04,14:00,REST,Bmr,0,-52.25,-545.75,0.0,50.0,0.0,0.0,0
2024-11-04,15:00,REST,Bmr,0,-52.25,-598.0,0.0,50.0,0.0,0.0,0
2024-11-04,16:00,REST,Bmr,0,-52.25,-650.25,0.0,50.0,0.0,0.0,0
2024-11-04,16:01,FOOD,Eat,0.0,500.0,-150.25,27.0,77.0,26.0,30.0,"Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella"
2024-11-04,16:30,FOOD,Eat,0.0,890.0,739.75,18.0,95.0,175.0,13.0,"Protein bars, candy"
2024-11-04,17:00,REST,Bmr,0,-52.25,687.5,0.0,95.0,0.0,0.0,0
2024-11-04,18:00,REST,Bmr,0,-52.25,635.25,0.0,95.0,0.0,0.0,0
2024-11-04,19:00,REST,Bmr,0,-52.25,583.0,0.0,95.0,0.0,0.0,0
2024-11-04,20:00,REST,Bmr,0,-52.25,530.75,0.0,95.0,0.0,0.0,0
2024-11-04,21:00,REST,Bmr,0,-52.25,478.5,0.0,95.0,0.0,0.0,0
