date_time,date,time,energy_acc,energy,activity,label,protein,food,end_time,time_activity,duration
2024-11-04 00:00:00,2024-11-04,00:00,-52.25,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 01:00:00,2024-11-04,01:00,-104.5,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 02:00:00,2024-11-04,02:00,-156.75,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 03:00:00,2024-11-04,03:00,-209.0,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 03:41:09,2024-11-04,03:41,-717.0,-508.0,Walking,training,0.0,0,5:28,1:47:37,6457.0
2024-11-04 04:00:00,2024-11-04,04:00,-769.25,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 05:00:00,2024-11-04,05:00,-821.5,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 06:00:00,2024-11-04,06:00,-873.75,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 06:30:00,2024-11-04,06:30,-373.75,500.0,Food,energy_in,20.0,Porridge,0,0,0.0
2024-11-04 07:00:00,2024-11-04,07:00,-426.0,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 08:00:00,2024-11-04,08:00,-478.25,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 09:00:00,2024-11-04,09:00,-530.5,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 10:00:00,2024-11-04,10:00,-582.75,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 10:00:00,2024-11-04,10:00,-82.75,500.0,Food,energy_in,20.0,Porridge,0,0,0.0
2024-11-04 10:21:59,2024-11-04,10:21,-536.75,-454.0,Walking,training,0.0,0,11:58,1:37:44,5864.0
2024-11-04 11:00:00,2024-11-04,11:00,-589.0,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 12:00:00,2024-11-04,12:00,-641.25,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 12:22:30,2024-11-04,12:22,-829.25,-188.0,Cycling,training,0.0,0,12:52,0:30:11,1811.0
2024-11-04 13:00:00,2024-11-04,13:00,-881.5,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 13:00:47,2024-11-04,13:00,-1106.5,-225.0,Strength,training,0.0,0,13:44,0:44:16,2656.0
2024-11-04 14:00:00,2024-11-04,14:00,-1158.75,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 15:00:00,2024-11-04,15:00,-1211.0,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 15:00:00,2024-11-04,15:00,-711.0,500.0,Food,energy_in,20.0,Sallad,0,0,0.0
2024-11-04 15:30:00,2024-11-04,15:30,289.0,1000.0,Food,energy_in,10.0,Fika/Candy,0,0,0.0
2024-11-04 16:00:00,2024-11-04,16:00,236.75,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
2024-11-04 17:00:00,2024-11-04,17:00,184.5,-52.25,rest,energy_bmr,0.0,0,0,0,0.0
