date_time,Date,Time,Time / Activity,type,type_text,Activity time (h:m:s),Activity (minutes),startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
2024-11-05 03:25:23,2024-11-05,03:25,03:25 Walking,6,Walking,1:43:23,103.38,2024-11-05 03:25:23+0000,6203,0.0,0.43318054,8386.0,0.739,363.0
2024-11-04 13:00:47,2024-11-04,13:00,13:00 Strength,52,Strength,0:44:16,44.27,2024-11-04 13:00:47+0000,2656,0.0,0.0,0.0,0.0,225.0
2024-11-04 12:22:30,2024-11-04,12:22,12:22 Cycling,10,Cycling,0:30:11,30.18,2024-11-04 12:22:30+0000,1811,0.0,0.0,0.0,0.0,188.0
2024-11-04 10:21:59,2024-11-04,10:21,10:21 Walking,6,Walking,1:37:44,97.73,2024-11-04 10:21:59+0000,5864,4.0068417,0.2149785,7652.0,0.766,454.0
2024-11-04 03:41:09,2024-11-04,03:41,03:41 Walking,6,Walking,1:47:37,107.62,2024-11-04 03:41:09+0000,6457,7.843139,0.30505502,8935.0,0.722,508.0
2024-11-03 09:16:07,2024-11-03,09:16,09:16 Walking,6,Walking,1:43:34,103.57,2024-11-03 09:16:07+0000,6214,0.0,0.33836946,7986.0,0.778,520.0
2024-11-03 03:53:09,2024-11-03,03:53,03:53 Walking,6,Walking,1:39:20,99.33,2024-11-03 03:53:09+0000,5960,0.0,0.3954053,8199.0,0.726,420.0
2024-11-02 11:48:45,2024-11-02,11:48,11:48 Cycling,10,Cycling,1:00:02,60.03,2024-11-02 11:48:45+0000,3602,0.0,0.0,0.0,0.0,426.0
2024-11-02 09:27:19,2024-11-02,09:27,09:27 Walking,6,Walking,1:51:11,111.18,2024-11-02 09:27:19+0000,6671,0.0,0.41640678,8103.0,0.823,507.0
2024-11-02 03:19:59,2024-11-02,03:19,03:19 Walking,6,Walking,1:38:43,98.72,2024-11-02 03:19:59+0000,5923,0.0,0.17475955,8438.0,0.701,625.0
